# DOT S3B per-family evidence review (spec A.1)
# dataset_rows=177251 dataset_range=2026.01.19 15:49 → 2026.07.21 17:09
# oracle_sha256_12=518862bf19fb
# LABEL: depth_participation / co_fire_with_F0 / coverage_of_missed / regime_conditional_net are PROPERTY OF THE BOOK.
# LABEL: thrust-episode denominators behind coverage_of_missed are PROPERTY OF THE MARKET (price-only).
# S5 gate = trades>=30 & folds_plus>=4 & agg_pf>=2.0. Cluster tolerance N=5 (spec 0.1.3). Depth band = size>=5.
# INSUFFICIENT-EVIDENCE is a permitted verdict (spec A.1) and is emitted where no output file exists on this dataset.
# No family is assigned a verdict from its historical classification; F13 negative excludes nothing (spec A.3).
# coverage_of_missed is 0.0 BY CONSTRUCTION for F0 and F1: they are the incumbent book, so the episodes they
# touch are the traded set by definition. The column is informative only for a family outside the book.
# rows_emitted=0 for F0 means no F0 results file exists on this dataset; its columns are measured from the
# committed executed-trade table instead, which is stated in verdict_basis.
family,scanner,scanner_sha12,output_files_found,output_file_names,rows_emitted,candidates_passing_S5,S5_gate,distinct_conditions_used,vocabulary_size,book_signals,book_trades,book_net,depth_participation_basis1,depth_participation_basis2,depth_participation_basis3,co_fire_with_F0,coverage_of_missed,regime_conditional_net,regime_buckets_positive,verdict,verdict_basis,dataset_rows,dataset_range,thrust_grid,population_label
F0,triple_convergence_and_d2ddir.py,5ed2221e5339,0,,0,,trades>=30 & folds_plus>=4 & agg_pf>=2.0,,249,48,2558,74937.9,42.5,63.6,5.8,53.9,0.0,2026.01:4083.2;2026.02:14371.3;2026.03:16302.0;2026.04:11251.2;2026.05:11626.7;2026.06:12022.0;2026.07:5281.5,7/7,SELECTABLE,measured from the committed book executed-trade table on this dataset,177251,2026.01.19 15:49 -> 2026.07.21 17:09,basis3 grid W=15 K=p85 E=p75 N=5; depth bands size>=5; eligible mask ADX>=15 & Volume>50 & post-warmup,BOOK for depth/co-fire/coverage columns; MARKET for thrust episode denominators
F1,sequential_temporal.py,cda5b7459077,0,,0,,trades>=30 & folds_plus>=4 & agg_pf>=2.0,,249,2,120,2300.8,30.8,51.7,5.8,46.7,0.0,2026.01:102.6;2026.02:428.1;2026.03:603.1;2026.04:225.5;2026.05:345.6;2026.06:484.0;2026.07:111.9,7/7,SELECTABLE,measured from the committed book executed-trade table on this dataset,177251,2026.01.19 15:49 -> 2026.07.21 17:09,basis3 grid W=15 K=p85 E=p75 N=5; depth bands size>=5; eligible mask ADX>=15 & Volume>50 & post-warmup,BOOK for depth/co-fire/coverage columns; MARKET for thrust episode denominators
F2,state_transition.py,8cb42c9d9891,0,,0,,trades>=30 & folds_plus>=4 & agg_pf>=2.0,,249,0,0,0.0,,,,,,,,INSUFFICIENT-EVIDENCE,no results file exists on any window; S3 discovery has not been run for this family on this dataset,177251,2026.01.19 15:49 -> 2026.07.21 17:09,basis3 grid W=15 K=p85 E=p75 N=5; depth bands size>=5; eligible mask ADX>=15 & Volume>50 & post-warmup,BOOK for depth/co-fire/coverage columns; MARKET for thrust episode denominators
F3,conditional_interaction.py,7908ed0c5fbc,0,,0,,trades>=30 & folds_plus>=4 & agg_pf>=2.0,,249,0,0,0.0,,,,,,,,INSUFFICIENT-EVIDENCE,no results file exists on any window; S3 discovery has not been run for this family on this dataset,177251,2026.01.19 15:49 -> 2026.07.21 17:09,basis3 grid W=15 K=p85 E=p75 N=5; depth bands size>=5; eligible mask ADX>=15 & Volume>50 & post-warmup,BOOK for depth/co-fire/coverage columns; MARKET for thrust episode denominators
F4,divergence_nonconfirm.py,a95c521cd55c,0,,0,,trades>=30 & folds_plus>=4 & agg_pf>=2.0,,249,0,0,0.0,,,,,,,,INSUFFICIENT-EVIDENCE,no results file exists on any window; S3 discovery has not been run for this family on this dataset,177251,2026.01.19 15:49 -> 2026.07.21 17:09,basis3 grid W=15 K=p85 E=p75 N=5; depth bands size>=5; eligible mask ADX>=15 & Volume>50 & post-warmup,BOOK for depth/co-fire/coverage columns; MARKET for thrust episode denominators
F5,persistence_autocorr.py,cd3afbfe6994,0,,0,,trades>=30 & folds_plus>=4 & agg_pf>=2.0,,249,0,0,0.0,,,,,,,,INSUFFICIENT-EVIDENCE,no results file exists on any window; S3 discovery has not been run for this family on this dataset,177251,2026.01.19 15:49 -> 2026.07.21 17:09,basis3 grid W=15 K=p85 E=p75 N=5; depth bands size>=5; eligible mask ADX>=15 & Volume>50 & post-warmup,BOOK for depth/co-fire/coverage columns; MARKET for thrust episode denominators
F6,threshold_crossing.py,147deb44d1b5,0,,0,,trades>=30 & folds_plus>=4 & agg_pf>=2.0,,249,0,0,0.0,,,,,,,,INSUFFICIENT-EVIDENCE,no results file exists on any window; S3 discovery has not been run for this family on this dataset,177251,2026.01.19 15:49 -> 2026.07.21 17:09,basis3 grid W=15 K=p85 E=p75 N=5; depth bands size>=5; eligible mask ADX>=15 & Volume>50 & post-warmup,BOOK for depth/co-fire/coverage columns; MARKET for thrust episode denominators
F7,mean_reversion.py,868bc7edf5fe,0,,0,,trades>=30 & folds_plus>=4 & agg_pf>=2.0,,249,0,0,0.0,,,,,,,,INSUFFICIENT-EVIDENCE,no results file exists on any window; S3 discovery has not been run for this family on this dataset,177251,2026.01.19 15:49 -> 2026.07.21 17:09,basis3 grid W=15 K=p85 E=p75 N=5; depth bands size>=5; eligible mask ADX>=15 & Volume>50 & post-warmup,BOOK for depth/co-fire/coverage columns; MARKET for thrust episode denominators
F8,cross_variable_structure.py,5594fa73a7d3,0,,0,,trades>=30 & folds_plus>=4 & agg_pf>=2.0,,249,0,0,0.0,,,,,,,,INSUFFICIENT-EVIDENCE,no results file exists on any window; S3 discovery has not been run for this family on this dataset,177251,2026.01.19 15:49 -> 2026.07.21 17:09,basis3 grid W=15 K=p85 E=p75 N=5; depth bands size>=5; eligible mask ADX>=15 & Volume>50 & post-warmup,BOOK for depth/co-fire/coverage columns; MARKET for thrust episode denominators
F9,session_temporal.py,2e5f1703aaa2,0,,0,,trades>=30 & folds_plus>=4 & agg_pf>=2.0,,249,0,0,0.0,,,,,,,,INSUFFICIENT-EVIDENCE,no results file exists on any window; S3 discovery has not been run for this family on this dataset,177251,2026.01.19 15:49 -> 2026.07.21 17:09,basis3 grid W=15 K=p85 E=p75 N=5; depth bands size>=5; eligible mask ADX>=15 & Volume>50 & post-warmup,BOOK for depth/co-fire/coverage columns; MARKET for thrust episode denominators
