# DOT S5C spec I.4 rejection list, implemented as executable checks rather than conventions
# dataset_rows=177251 splits=3
# UNEXERCISABLE PENDING S3 marks a check whose subject does not exist yet, not a check that passed.
item,rule,status,detail
1,a fixed book re-scored per split instead of the funnel re-run,UNEXERCISABLE PENDING S3,"S3 discovery has never run, so no candidate pool exists and the funnel cannot be re-run per split; the mechanics are built and the criterion is unexercisable"
2,any parameter chosen with sight of a test segment,PASS,"threshold values over the training prefix are identical whether computed on the full frame or on the truncated prefix; mechanism D therefore cannot see the test segment, and masking after a full-frame computation is not a leak"
3,discovery run across the full series and split afterwards,UNEXERCISABLE PENDING S3,every per-segment derivation takes an explicit training bar range
4,omitting the embargo or setting it shorter than the longest forward label,PASS,embargo 1440 bars >= 1440; longest forward label in use is the thrust window W=60 bars
5,reporting the best split or the mean without per-split values,PASS,every derived split is emitted as its own row
6,re-running a failed split after adjustment,ENFORCED BY ATTESTATION,append-only trail; repeats reported not blocked
7,carrying the 27% null from the record,UNEXERCISABLE PENDING S3,the null is regenerated inside each split and scored in the same single test pass
8,deleting rows anywhere to construct a segment,PASS,row count 177251 unchanged; segments are index ranges over the intact series
9,touching a test segment more than once,PASS,0 guards recorded a second touch; TestSegmentGuard raises SecondTouchError
10,shortening a training segment below the floor to fit a split count,PASS,every training segment meets the floor
