# DOT S5C spec I.3 random-triple NULL ARM, per split — THIS IS A MEASUREMENT, NOT A PASS CRITERION
# dataset_rows=177251 dataset_range=2026.01.19 15:49 → 2026.07.21 17:09
# oracle_sha256_12=518862bf19fb
# Random triples are drawn from the existing 249-condition pool; NO S3 output is required, so this
# violates no rejection item: it is not the fixed book (item 1), not full-series discovery (item 3),
# and not the 27% figure carried from the record (item 7) — the null is regenerated inside each split.
# Persistence is measured exactly as the record measures it: net>0, PF>=2, WR>=75 in BOTH train and test.
# Each triple is scored STANDALONE (batch size 1) so the 6-lot jar cannot couple the null entities.
# Scored on the test segment inside the SINGLE sanctioned TestSegmentGuard touch.
# THE PASS CRITERION REMAINS UNEVALUABLE: it requires the SELECTION arm, which requires a candidate pool
# that S3 has never produced. A null baseline is the denominator of that comparison, never the result.
split_index,entity,train_trades,test_trades,train_net,train_PF,train_WR,test_net,test_PF,test_WR,train_passes,test_passes,persists
0,NULL_0000,357,76,775.2,1.103,79.3,284.2,1.217,82.9,False,False,False
0,NULL_0001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
0,NULL_0002,15,2,-158.3,0.686,73.3,-22.2,0.797,50.0,False,False,False
0,NULL_0003,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
0,NULL_0004,76,23,263.6,1.158,81.6,121.1,1.277,78.3,False,False,False
0,NULL_0005,99,21,-517.1,0.803,73.7,476.5,4.114,95.2,False,True,False
0,NULL_0006,102,13,470.8,1.223,79.4,-268.1,0.403,69.2,False,False,False
0,NULL_0007,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
0,NULL_0008,2,0,25.1,999.0,100.0,0.0,0.0,0.0,True,False,False
0,NULL_0009,33,1,-12.2,0.976,78.8,70.9,999.0,100.0,False,True,False
0,NULL_0010,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
0,NULL_0011,52,19,896.0,1.711,80.8,31.7,1.049,73.7,False,False,False
0,NULL_0012,3,0,-69.0,0.549,66.7,0.0,0.0,0.0,False,False,False
0,NULL_0013,32,4,79.3,1.112,75.0,93.8,2.669,75.0,False,True,False
0,NULL_0014,21,0,203.1,1.725,90.5,0.0,0.0,0.0,False,False,False
0,NULL_0015,5,1,107.8,999.0,100.0,126.6,999.0,100.0,True,True,True
0,NULL_0016,1,0,32.3,999.0,100.0,0.0,0.0,0.0,True,False,False
0,NULL_0017,43,9,-170.1,0.859,67.4,215.0,999.0,100.0,False,True,False
0,NULL_0018,26,5,247.5,1.347,76.9,-15.1,0.901,80.0,False,False,False
0,NULL_0019,50,2,34.5,1.041,80.0,-45.2,0.231,50.0,False,False,False
0,NULL_0020,52,8,412.6,1.434,86.5,227.4,999.0,100.0,False,True,False
0,NULL_0021,102,8,412.1,1.25,78.4,-62.7,0.603,75.0,False,False,False
0,NULL_0022,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
